Survived,Sex,Pclass,Age,Fare,SibSp,Parch,Embarked,Lifeboat,Cabin,FamilySize
0,female,2,27.0,21.0,1,0,S,X,X,2
0,male,3,25.0,7.8958,0,0,C,X,X,1
1,female,2,3.0,41.5792,1,2,C,14,X,4
1,female,3,19.0,7.8792,0,0,Q,C,X,1
0,male,3,29.0,8.05,0,0,S,X,X,1
0,male,3,20.0,15.5,1,0,Q,X,X,2
1,female,3,24.0,7.75,0,0,Q,D,X,1
0,male,3,16.0,21.6792,2,0,C,X,X,3
0,female,3,18.0,17.8,1,0,S,X,X,2
0,male,3,7.0,39.6875,4,1,S,X,X,6
0,male,3,21.0,7.8,0,0,S,X,X,1
1,female,1,49.0,76.7292,1,0,C,3,D,2
1,female,2,29.0,26.0,1,0,S,16,X,2
0,male,1,64.0,61.9792,0,1,C,X,B,2
1,male,1,45.0,35.5,0,0,S,D,C,1
1,female,2,21.0,10.5,0,0,S,12,X,1
0,male,3,20.0,7.2292,0,0,C,X,X,1
1,female,2,4.0,27.75,1,2,S,10,X,4
0,male,3,13.0,46.9,5,2,S,X,X,8
0,male,3,22.0,7.2292,0,0,C,X,X,1
1,female,1,38.0,80.0,0,0,X,6,B,1
0,male,1,45.0,83.475,1,0,S,X,C,2
0,male,3,5.0,27.9,3,2,S,X,X,6
0,male,1,54.0,27.7208,0,0,C,X,X,1
1,male,3,7.0,15.2458,1,1,C,C,X,3
1,female,2,29.0,10.5,0,0,S,11,F,1
0,male,3,19.0,8.1583,0,0,S,X,X,1
1,female,3,17.0,7.925,4,2,S,D,X,7
0,male,3,26.0,8.6625,2,0,S,X,X,3
0,male,2,32.0,10.5,0,0,S,X,X,1
0,female,3,16.0,46.9,5,2,S,X,X,8
0,male,2,21.0,73.5,0,0,S,X,X,1
0,male,3,26.0,14.4542,1,0,C,X,X,2
1,male,3,32.0,56.4958,0,0,S,C,X,1
0,male,3,25.0,7.65,0,0,S,X,F,1
0,male,3,23.0,7.8958,0,0,S,X,X,1
0,male,3,28.0,8.05,0,0,S,X,X,1
1,male,2,0.83,29.0,0,2,S,13,X,3
1,female,3,31.0,12.475,0,0,S,13,X,1
0,male,3,22.0,9.0,0,0,S,X,X,1
1,male,3,29.0,9.5,0,0,S,11,X,1
1,female,3,31.0,7.7875,0,0,Q,13,X,1
0,male,1,31.0,47.1,0,0,S,X,X,1
1,female,2,17.0,10.5,0,0,S,Q,X,1
1,female,3,33.0,15.85,3,0,S,D,X,4
0,male,3,16.0,34.375,1,3,S,X,X,5
0,male,3,20.0,8.05,0,0,S,X,X,1
1,female,1,23.0,263.0,3,2,S,10,C,6
0,male,3,24.0,8.05,0,0,S,X,X,1
0,male,3,29.0,8.05,0,0,S,X,X,1
0,male,3,20.0,7.8542,0,0,S,X,X,1
0,male,1,46.0,61.175,1,0,S,X,E,2
0,male,3,25.0,20.575,1,2,S,X,X,4
0,male,3,59.0,7.25,0,0,S,X,X,1
0,male,3,22.0,8.05,0,0,S,X,X,1
0,male,1,71.0,34.6542,0,0,C,X,A,1
1,male,1,23.0,63.3583,0,1,C,7,D,2
1,female,2,34.0,23.0,0,1,S,Q,X,2
0,male,2,34.0,26.0,1,0,S,X,X,2
0,female,3,28.0,7.8958,0,0,S,X,X,1
0,male,3,29.0,7.8958,0,0,S,X,X,1
0,male,1,21.0,77.2875,0,1,S,X,D,2
0,male,3,33.0,8.6542,0,0,S,X,X,1
0,male,3,37.0,7.925,2,0,S,X,X,3
0,male,3,28.0,7.8958,0,0,S,X,X,1
1,female,3,21.0,7.65,0,0,S,C,X,1
1,male,3,29.0,7.775,0,0,S,B,X,1
0,male,3,38.0,7.8958,0,0,S,X,X,1
1,female,3,28.0,24.15,1,0,Q,16,X,2
0,male,1,46.0,52.0,0,0,S,X,C,1
0,female,3,16.0,14.4542,1,0,C,X,X,2
0,male,3,22.0,8.05,0,0,S,X,X,1
0,female,3,20.0,9.825,1,0,S,X,X,2
0,female,3,17.0,14.4583,0,0,C,X,X,1
0,male,3,21.0,7.925,0,0,S,X,X,1
0,male,3,61.0,7.75,0,0,Q,X,X,1
0,male,2,29.0,21.0,1,0,S,X,X,2
0,male,1,24.0,247.5208,0,1,C,X,B,2
0,female,3,2.0,31.275,4,2,S,X,X,7
0,male,2,20.0,73.5,2,0,S,X,X,3
0,male,3,19.0,8.05,0,0,S,X,X,1
0,male,2,28.0,30.0708,1,0,C,X,X,2
1,female,2,37.0,13.0,0,0,S,12,E,1
0,male,1,54.0,77.2875,0,1,S,X,D,2
1,male,3,12.0,11.2417,1,0,C,C,X,2
0,male,3,20.0,7.75,0,0,Q,X,X,1
1,male,3,24.0,7.1417,0,0,S,13,X,1
1,female,3,2.0,22.3583,1,1,C,C,F,3
0,male,3,45.0,6.975,0,0,S,X,X,1
0,male,3,33.0,7.8958,0,0,C,X,X,1
0,male,3,20.0,7.05,0,0,S,X,X,1
0,female,3,47.0,14.5,1,0,S,X,X,2
1,female,2,37.0,26.0,1,0,S,10,X,2
0,male,2,25.0,13.0,0,0,S,X,X,1
0,male,2,23.0,15.0458,0,0,C,X,X,1
1,female,1,19.0,26.2833,0,2,S,5,D,3
0,male,1,37.0,53.1,1,0,S,X,C,2
0,male,3,16.0,9.2167,0,0,S,X,X,1
0,male,1,24.0,79.2,0,0,C,X,B,1
0,female,3,40.0,15.2458,0,2,C,X,X,3
1,female,3,22.0,7.75,0,0,S,13,X,1
1,female,3,24.0,15.85,1,0,S,15,X,2
0,male,3,19.0,6.75,0,0,Q,X,X,1
0,male,2,17.0,11.5,0,0,S,X,X,1
0,male,2,19.0,36.75,1,1,S,X,X,3
1,male,3,27.0,7.7958,0,0,S,A,X,1
0,female,3,7.0,34.375,2,2,S,X,X,5
0,male,2,32.0,26.0,0,2,S,X,F,3
0,male,2,42.0,13.0,0,0,S,X,X,1
0,male,2,51.0,12.525,0,0,S,X,X,1
1,female,1,22.0,66.6,1,0,S,8,C,2
0,male,3,48.0,8.05,0,0,S,X,X,1
0,male,3,35.0,14.5,0,2,S,X,X,3
0,male,3,27.0,7.3125,0,0,S,X,X,1
0,male,1,51.0,61.3792,0,1,C,X,X,2
1,female,3,17.0,7.7333,0,0,Q,16,X,1
0,male,3,30.0,8.05,0,0,S,X,X,1
0,male,3,37.0,8.6625,0,0,S,X,X,1
0,male,3,4.0,69.55,8,2,S,X,X,11
0,male,3,44.0,16.1,0,1,S,X,X,2
1,female,2,40.0,15.75,0,0,S,9,X,1
0,male,3,26.0,7.775,0,0,S,X,X,1
0,male,3,17.0,8.6625,0,0,S,X,X,1
0,male,3,1.0,39.6875,4,1,S,X,X,6
1,male,3,9.0,20.525,0,2,S,C,X,3
1,female,1,48.0,55.0,0,1,S,6,E,2
0,female,3,43.0,27.9,1,4,S,X,X,6
0,male,1,60.0,25.925,0,0,S,X,X,1
0,male,3,24.0,56.4958,0,0,S,X,X,1
0,male,1,61.0,33.5,0,0,S,X,B,1
0,male,3,4.0,29.125,4,1,Q,X,X,6
1,female,3,1.0,11.1333,1,1,S,15,X,3
0,male,3,21.0,7.925,0,0,S,X,X,1
0,male,1,56.0,30.6958,0,0,C,X,A,1
0,male,3,18.0,7.8542,1,1,S,X,X,3
0,male,3,5.0,25.4667,3,1,S,X,X,5
0,female,1,50.0,28.7125,0,0,C,X,C,1
0,male,2,30.0,13.0,0,0,S,X,X,1
0,male,3,36.0,0.0,0,0,S,X,X,1
0,female,3,7.0,69.55,8,2,S,X,X,11
0,male,2,39.0,15.05,0,0,C,X,X,1
0,male,3,9.0,31.3875,4,2,S,X,X,7
1,male,2,1.0,39.0,2,1,S,11,F,4
1,female,3,4.0,22.025,0,2,S,2,X,3
0,male,1,38.0,50.0,0,0,S,X,A,1
1,female,3,26.0,15.5,1,0,Q,Q,X,2
1,male,1,45.0,26.55,0,0,S,9,X,1
0,male,3,42.0,15.5,1,1,Q,X,X,3
0,male,3,36.0,7.8958,0,0,S,X,X,1
1,female,2,21.0,13.0,0,0,S,9,X,1
0,male,2,19.0,13.0,0,0,S,X,X,1
1,female,3,19.0,7.8542,1,0,S,16,X,2
1,male,2,3.0,26.0,1,1,S,D,F,3
1,female,1,44.0,27.7208,0,0,C,6,B,1
1,female,1,59.0,146.5208,0,0,C,6,B,1
0,male,3,26.0,7.75,0,0,Q,X,X,1
0,male,3,42.0,8.4042,0,1,S,X,X,2
1,female,3,21.0,7.75,0,0,Q,15,X,1
0,female,2,24.0,13.0,0,0,S,X,X,1
0,male,3,28.0,9.5,0,0,S,X,X,1
0,male,3,16.0,69.55,8,2,S,X,X,11
0,male,3,34.0,6.4958,0,0,S,X,X,1
0,male,3,45.0,7.225,0,0,C,X,X,1
1,male,3,18.0,8.05,0,0,S,12,X,1
0,female,3,2.0,10.4625,0,1,S,X,G,2
0,male,3,32.0,15.85,1,0,S,X,X,2
1,male,3,26.0,18.7875,0,0,C,15,X,1
1,female,3,16.0,7.75,0,0,Q,16,X,1
1,male,1,39.0,31.0,0,0,C,7,A,1
0,male,3,24.0,7.05,0,0,S,X,X,1
1,female,2,35.0,21.0,0,0,S,14,X,1
0,male,3,22.0,7.25,0,0,S,X,X,1
0,male,2,30.0,13.0,0,0,S,X,X,1
0,male,3,22.0,7.75,1,0,Q,X,X,2
1,female,1,31.0,113.275,1,0,C,6,D,2
1,female,3,27.0,7.925,0,0,S,Q,X,1
0,male,2,40.0,27.0,1,0,S,X,X,2
1,female,1,36.0,76.2917,0,0,C,8,D,1
0,male,2,30.0,10.5,0,0,S,X,X,1
1,male,3,20.0,8.05,0,0,S,B,X,1
0,male,2,29.0,13.0,0,0,S,X,X,1
0,male,3,40.0,8.05,0,0,S,X,X,1
0,male,3,22.0,7.8958,0,0,S,X,X,1
1,male,1,35.0,90.0,1,0,S,D,C,2
0,male,3,22.0,9.35,0,0,S,X,X,1
1,male,2,19.0,10.5,0,0,S,B,X,1
0,male,3,20.0,7.25,0,0,S,X,X,1
0,male,2,18.0,13.0,0,0,S,X,X,1
0,female,3,12.0,25.4667,3,1,S,X,X,5
1,female,1,35.0,83.475,1,0,S,D,C,2
0,male,3,29.0,7.775,0,0,S,X,X,1
0,male,2,30.0,13.5,0,0,S,10,X,1
1,female,3,5.0,31.3875,4,2,S,15,X,7
0,male,2,25.0,10.5,0,0,S,X,X,1
0,female,3,21.0,7.55,0,0,S,X,X,1
0,male,2,44.0,26.0,1,0,S,X,X,2
1,female,2,8.0,26.25,0,2,S,14,X,3
0,male,2,19.0,10.5,0,0,S,X,X,1
0,male,2,33.0,12.275,0,0,S,X,X,1
0,female,3,19.0,14.4542,1,0,C,X,X,2
1,female,3,18.0,15.5,1,0,Q,16,X,2
0,male,2,29.0,10.5,0,0,S,X,X,1
0,male,3,22.0,7.125,0,0,S,X,X,1
0,male,3,30.0,7.225,0,0,C,X,X,1
0,male,1,44.0,90.0,2,0,Q,X,C,3
0,female,3,25.0,7.775,0,0,S,X,X,1
1,female,2,24.0,14.5,0,2,S,4,X,3
1,male,1,37.0,52.5542,1,1,S,5,D,3
0,male,2,54.0,26.0,1,0,S,X,X,2
0,male,3,19.0,7.25,0,0,S,X,X,1
0,female,3,29.0,10.4625,1,1,S,X,G,3
0,male,1,62.0,26.55,0,0,S,X,C,1
0,male,3,30.0,16.1,1,0,S,X,X,2
0,female,3,41.0,20.2125,0,2,S,X,X,3
1,female,3,27.0,15.2458,0,2,C,C,X,3
1,female,1,37.0,79.2,0,0,C,D,X,1
1,female,1,30.0,86.5,0,0,S,8,B,1
1,female,1,38.0,512.3292,0,0,C,3,X,1
1,female,2,60.0,26.0,0,1,S,12,X,2
0,male,3,26.0,7.75,0,0,Q,X,X,1
1,male,3,3.0,31.3875,4,2,S,15,X,7
0,male,1,52.0,79.65,1,1,S,X,E,3
0,male,1,45.0,0.0,0,0,S,X,B,1
0,female,3,23.0,7.75,0,0,Q,X,X,1
0,male,2,36.0,10.5,0,0,S,X,X,1
0,male,3,16.0,39.6875,4,1,S,X,X,6
1,male,3,25.0,7.775,1,0,S,15,X,2
1,female,1,59.0,153.4625,0,1,S,3,C,2
1,female,1,39.0,135.6333,0,0,S,8,C,1
0,male,1,28.0,31.0,0,0,S,X,X,1
1,male,3,25.0,0.0,0,0,S,15,X,1
1,female,2,41.0,19.5,0,1,S,14,X,2
0,male,1,36.0,29.7,0,1,C,X,C,2
1,female,3,29.0,7.75,0,0,Q,16,X,1
1,female,1,62.0,77.9583,1,0,S,10,D,2
0,female,3,45.0,7.75,0,0,S,X,X,1
0,male,2,18.0,0.0,0,0,S,X,X,1
0,male,3,7.0,29.125,4,1,Q,X,X,6
1,female,3,39.0,20.25,1,1,S,A,X,3
0,male,3,65.0,7.75,0,0,Q,X,X,1
0,male,3,28.0,7.8542,0,0,S,X,X,1
0,male,3,16.0,9.5,0,0,S,X,X,1
1,male,3,18.0,8.05,0,0,S,B,X,1
0,male,1,57.0,26.0,0,0,S,X,A,1
0,male,3,33.0,8.6625,0,0,C,X,X,1
1,male,3,36.0,9.5,0,0,S,11,X,1
0,male,3,22.0,7.8958,0,0,S,X,X,1
1,male,2,41.0,13.0,0,0,S,10,X,1
1,female,3,22.0,7.75,0,0,Q,13,X,1
1,female,1,26.0,78.85,0,0,S,6,X,1
1,female,1,19.0,91.0792,1,0,C,7,B,2
0,male,2,36.0,12.875,0,0,C,X,D,1
0,female,3,24.0,8.85,0,0,S,X,X,1
0,male,3,24.0,7.8958,0,0,S,X,X,1
0,male,1,31.0,27.7208,0,0,C,X,X,1
0,male,3,35.0,7.2292,0,0,C,X,X,1
0,female,1,2.0,151.55,1,2,S,X,C,4
1,male,1,47.0,30.5,0,0,S,3,C,1
1,female,1,50.0,247.5208,0,1,C,6,B,2
1,female,3,20.0,7.75,0,0,Q,16,X,1
1,male,3,24.0,23.25,2,0,Q,16,X,3
0,male,3,19.0,0.0,0,0,S,X,X,1
1,female,2,46.0,12.35,0,0,Q,10,E,1
0,male,3,28.0,8.05,0,0,S,X,X,1
1,male,1,0.92,151.55,1,2,S,11,C,4
1,female,1,42.0,110.8833,0,0,C,4,X,1
1,female,1,22.0,108.9,1,0,C,8,C,2
0,male,2,30.0,24.0,1,0,C,X,X,2
1,female,1,31.0,56.9292,0,0,C,1,E,1
1,female,1,24.0,83.1583,0,0,C,7,C,1
1,female,1,18.0,262.375,2,2,C,4,B,5
0,female,2,26.0,26.0,1,1,S,X,X,3
0,male,3,28.0,7.8958,0,0,S,X,X,1
0,male,2,47.0,26.25,1,1,S,X,X,3
1,female,3,26.0,7.8542,0,0,S,13,X,1
1,female,2,24.0,26.0,1,0,S,12,X,2
0,male,2,54.0,14.0,0,0,S,X,X,1
1,female,1,31.0,164.8667,0,2,S,8,C,3
1,female,1,39.0,134.5,1,1,C,3,E,3
0,male,3,22.0,7.25,0,0,S,X,X,1
0,male,3,27.0,7.8958,0,0,S,X,X,1
1,female,2,30.0,12.35,0,0,Q,13,X,1
1,female,2,28.0,29.0,1,1,S,13,X,3
0,male,3,19.0,69.55,8,2,S,X,X,11
1,female,1,36.0,135.6333,0,0,C,8,C,1
0,male,3,61.0,6.2375,0,0,S,X,X,1
1,female,2,36.0,13.0,0,0,S,10,D,1
1,female,3,31.0,20.525,1,1,S,C,X,3
1,female,1,17.0,57.9792,0,1,C,4,B,2
1,female,3,29.0,23.25,2,0,Q,16,X,3
0,male,1,40.0,28.5,0,0,S,X,C,1
0,male,1,38.0,153.4625,0,1,S,X,C,2
0,male,3,15.0,18.0,2,0,S,X,X,3
1,female,1,42.0,133.65,1,0,S,5,X,2
0,male,3,30.0,7.8958,0,0,S,X,X,1
0,male,1,29.0,66.6,1,0,S,X,C,2
1,female,1,41.0,134.5,0,0,C,3,E,1
1,male,3,45.0,8.05,0,0,S,15,X,1
0,male,1,45.0,35.5,0,0,S,X,T,1
1,male,2,2.0,26.0,1,1,S,D,F,3
1,female,1,24.0,263.0,3,2,S,10,C,6
0,male,2,27.0,13.0,0,0,S,X,X,1
0,male,2,25.0,13.0,0,0,S,X,X,1
0,male,2,38.0,13.0,0,0,S,X,X,1
1,female,2,18.0,13.0,0,0,S,11,F,1
1,female,2,39.0,13.0,0,0,S,9,X,1
1,female,3,22.0,16.1,1,0,S,X,X,2
1,male,3,9.0,15.9,1,1,S,2,X,3
0,male,3,42.0,8.6625,0,0,S,X,X,1
0,male,3,23.0,9.225,0,0,S,X,X,1
0,male,1,43.0,35.0,0,0,S,X,C,1
0,male,3,17.0,7.2292,1,1,C,X,X,3
0,male,3,25.0,17.8,1,0,S,X,X,2
0,male,3,25.0,7.225,0,0,C,X,X,1
0,male,3,28.0,9.5,0,0,S,X,X,1
1,female,1,22.0,55.0,0,1,S,6,E,2
0,female,2,38.0,13.0,0,0,S,X,X,1
1,female,3,22.0,7.8792,0,0,Q,13,X,1
1,female,3,23.0,7.8792,0,0,Q,16,X,1
0,male,3,40.0,27.9,1,4,S,X,X,6
0,male,2,29.0,27.7208,1,0,C,X,X,2
0,female,3,45.0,14.4542,0,1,C,X,X,2
0,male,3,35.0,7.05,0,0,S,X,X,1
0,male,3,27.0,15.5,1,0,Q,X,X,2
0,male,3,30.0,7.25,0,0,S,X,X,1
1,female,1,60.0,75.25,1,0,C,5,D,2
1,female,3,35.0,7.2292,0,0,C,Q,X,1
1,female,3,26.0,7.75,0,0,Q,D,X,1
1,female,1,24.0,69.3,0,0,C,9,B,1
1,male,1,25.0,55.4417,1,0,C,5,E,2
0,male,3,18.0,6.4958,1,0,S,X,X,2
0,male,3,18.0,8.05,0,0,S,X,X,1
0,male,1,22.0,135.6333,0,0,C,X,X,1
0,female,3,3.0,21.075,3,1,S,X,X,5
1,female,1,25.0,82.1708,1,0,C,6,X,2
1,female,3,22.0,7.25,0,0,S,13,X,1
0,male,1,27.0,211.5,0,2,C,X,C,3
0,male,3,20.0,4.0125,0,0,C,X,X,1
0,male,3,19.0,7.775,0,0,S,X,X,1
1,female,1,46.0,227.525,0,0,C,4,X,1
1,female,3,1.0,15.7417,0,2,C,C,X,3
0,male,3,32.0,7.925,0,0,S,X,X,1
1,female,1,35.0,52.0,1,0,S,8,X,2
0,male,3,27.0,7.8958,0,0,S,X,X,1
0,male,2,21.0,73.5,0,0,S,X,X,1
0,male,3,1.0,46.9,5,2,S,X,X,8
1,female,2,36.0,13.0,0,0,S,9,X,1
0,male,3,20.0,7.7292,0,0,Q,X,X,1
1,female,2,17.0,12.0,0,0,C,12,X,1
1,male,1,36.0,120.0,1,2,S,C,B,4
1,male,3,21.0,7.7958,0,0,S,A,X,1
0,male,3,28.0,7.925,2,0,S,X,X,3
1,female,1,23.0,113.275,1,0,C,6,D,2
1,female,3,24.0,16.7,0,2,S,13,G,3
0,male,3,22.0,7.7958,0,0,S,X,X,1
0,female,3,31.0,7.8542,0,0,S,X,X,1
0,male,2,46.0,26.0,0,0,S,X,X,1
0,male,2,23.0,10.5,0,0,S,X,X,1
1,female,2,26.0,12.65,0,0,S,9,X,1
1,male,3,39.0,7.925,0,0,S,9,X,1
0,male,3,26.0,8.05,0,0,S,X,X,1
0,female,3,21.0,9.825,1,0,S,X,X,2
0,male,3,28.0,15.85,1,0,S,X,X,2
0,female,3,20.0,8.6625,0,0,S,X,X,1
0,male,2,33.0,21.0,1,0,S,X,X,2
0,male,3,51.0,7.75,0,0,S,X,X,1
1,male,2,3.0,18.75,1,1,S,4,X,3
0,male,3,21.0,7.775,0,0,S,X,X,1
0,female,3,3.0,25.4667,3,1,S,X,X,5
0,male,3,42.0,7.8958,0,0,S,X,X,1
0,male,3,27.0,6.8583,0,0,Q,X,X,1
1,female,1,33.0,90.0,1,0,Q,14,C,2
0,male,2,21.0,0.0,0,0,S,X,X,1
1,male,3,44.0,7.925,0,0,S,15,X,1
0,female,3,31.0,8.05,0,0,S,X,X,1
1,female,2,34.0,32.5,1,1,S,10,X,3
1,female,2,17.0,13.0,0,2,S,16,X,3
0,male,2,30.0,13.0,0,0,S,X,X,1
0,female,3,10.0,24.15,0,2,S,X,X,3
0,male,3,25.0,7.8958,0,0,C,X,X,1
0,male,3,28.0,7.7333,0,0,Q,X,X,1
0,male,3,29.0,7.875,0,0,S,X,X,1
0,female,3,28.0,14.4,1,1,S,X,X,3
0,male,3,18.0,20.2125,1,1,S,X,X,3
0,male,3,54.0,7.25,0,0,S,X,X,1
1,female,2,28.0,26.0,1,0,S,14,X,2
1,female,2,19.0,26.0,0,0,S,11,X,1
0,male,3,28.0,7.75,0,0,Q,X,X,1
1,male,3,32.0,8.05,0,0,S,9,E,1
1,male,1,28.0,26.55,0,0,S,D,C,1
1,female,3,32.0,16.1,1,0,S,10,X,2
1,female,2,42.0,26.0,1,0,S,14,X,2
0,male,3,17.0,7.125,0,0,S,X,X,1
0,male,1,50.0,55.9,1,0,S,X,E,2
1,female,1,13.0,120.0,1,2,S,4,B,4
0,female,3,20.0,34.375,2,2,S,X,X,5
1,female,2,23.0,18.75,2,3,S,4,X,6
0,male,1,64.0,263.0,1,4,S,X,C,6
0,male,2,31.0,10.5,0,0,S,X,X,1
1,female,2,48.0,26.25,1,1,S,14,X,3
0,male,3,19.0,9.5,0,0,S,X,X,1
0,male,3,25.0,7.775,1,0,S,X,X,2
1,female,2,28.0,13.0,0,0,S,9,X,1
1,male,3,29.0,8.1125,0,0,S,13,X,1
1,male,1,4.0,81.8583,0,2,S,5,A,3
1,female,2,13.0,19.5,0,1,S,14,X,2
1,male,1,34.0,26.55,0,0,S,7,X,1
1,female,3,5.0,19.2583,2,1,C,C,X,4
1,male,1,52.0,30.5,0,0,S,6,C,1
0,male,2,36.0,27.75,1,2,S,X,X,4
0,male,3,28.0,19.9667,1,0,S,X,X,2
0,male,1,30.0,27.75,0,0,C,X,C,1
1,male,1,47.0,89.1042,1,0,C,5,C,2
0,male,3,24.0,8.05,0,0,S,X,X,1
1,male,3,29.0,7.8958,0,0,C,15,X,1
0,male,1,65.0,26.55,0,0,S,X,E,1
1,female,1,31.0,51.8625,1,0,S,8,D,2
1,female,2,48.0,10.5,0,0,S,9,X,1
0,male,3,16.0,7.75,0,0,Q,X,X,1
1,male,1,47.0,26.55,0,0,S,3,E,1
0,male,3,34.0,8.05,0,0,S,X,X,1
0,male,1,47.0,38.5,0,0,S,X,E,1
0,male,2,48.0,13.0,0,0,S,X,X,1
0,male,3,34.0,8.05,0,0,S,X,X,1
0,male,3,37.0,7.05,0,0,S,X,X,1
0,male,2,21.0,0.0,0,0,S,X,X,1
0,male,1,56.0,26.55,0,0,S,X,X,1
0,male,3,22.0,7.725,0,0,Q,X,X,1
1,female,3,0.75,19.2583,2,1,C,C,X,4
0,male,3,39.0,7.25,0,0,S,A,X,1
0,male,3,38.0,8.6625,0,0,S,X,X,1
1,female,2,33.0,27.75,1,2,S,10,X,4
1,female,2,23.0,13.7917,0,0,C,11,D,1
0,female,3,22.0,9.8375,0,0,S,X,X,1
0,male,1,40.0,52.0,0,0,S,X,A,1
0,male,2,33.0,21.0,1,0,S,X,X,2
0,male,3,29.0,7.0458,1,0,S,X,X,2
0,male,3,22.0,7.5208,0,0,S,X,X,1
1,female,3,2.0,12.2875,0,1,S,15,X,2
0,male,3,10.0,46.9,5,2,S,X,X,8
0,male,2,37.0,0.0,0,0,S,X,X,1
0,male,3,50.0,8.05,0,0,S,X,X,1
1,female,3,63.0,9.5875,0,0,S,15,X,1
1,male,1,25.0,91.0792,1,0,C,7,B,2
0,female,3,8.0,25.4667,3,1,S,X,X,5
1,female,1,31.0,90.0,1,0,S,D,C,2
0,male,1,58.0,29.7,0,0,C,X,B,1
0,male,3,30.0,8.05,0,0,S,X,X,1
1,male,3,3.0,15.9,1,1,S,2,X,3
0,male,3,19.0,19.9667,1,0,S,X,X,2
0,male,3,21.0,7.25,0,0,S,X,X,1
0,male,1,55.0,30.5,0,0,S,X,C,1
0,male,1,71.0,49.5042,0,0,C,X,X,1
0,male,3,21.0,8.05,0,0,S,X,X,1
0,male,3,26.0,14.4583,0,0,C,X,X,1
1,female,1,54.0,78.2667,1,0,C,4,D,2
0,male,3,55.0,15.1,0,0,S,X,X,1
0,female,1,25.0,151.55,1,2,S,X,C,4
0,male,3,24.0,7.7958,0,0,S,X,X,1
0,male,3,17.0,8.6625,0,0,S,X,X,1
0,female,3,22.0,7.75,0,0,Q,X,X,1
0,female,3,21.0,7.6292,0,0,Q,X,X,1
0,female,3,37.0,9.5875,0,0,S,X,X,1
1,female,1,20.0,86.5,0,0,S,8,B,1
0,male,1,24.0,108.9,1,0,C,X,C,2
1,female,2,33.0,26.0,0,2,S,11,X,3
1,male,1,37.0,26.55,0,0,S,9,X,1
0,male,3,28.0,22.525,0,0,S,X,X,1
1,male,3,26.0,56.4958,0,0,S,14,X,1
1,male,3,29.0,7.75,0,0,Q,B,X,1
0,male,3,66.0,8.05,0,0,S,X,X,1
1,male,1,35.0,26.2875,0,0,S,7,E,1
1,female,1,54.0,59.4,1,0,C,6,X,2
0,male,3,24.0,7.4958,0,0,S,X,X,1
0,male,1,48.0,34.0208,0,0,S,X,D,1
1,female,2,34.0,10.5,0,0,S,14,F,1
0,male,3,29.0,24.15,0,0,Q,X,X,1
1,female,2,36.0,26.0,1,0,S,11,X,2
0,male,3,32.0,7.8958,0,0,S,X,X,1
1,female,1,33.0,93.5,0,0,S,3,B,1
0,male,3,21.0,7.8958,0,0,S,X,X,1
0,male,3,30.0,7.225,0,0,C,X,X,1
1,female,1,44.0,57.9792,0,1,C,4,B,2
0,male,3,18.0,7.2292,0,0,C,X,X,1
